email_id,subject,body,sender,sender_domain,num_urls,num_exclaim,has_html,label,full_text,clean_text,text_length,free_domain
EM00001,URGENT: Action required on your Steam account,"ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please log in to secure your account by clicking the secure link below: http://amaz0n-security.info/x9l0ijkcu5x0h This link will expire soon. Steam Support",noreply@amaz0n-security.info,amaz0n-security.info,1,1,0,1,"URGENT: Action required on your Steam account ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please log in to secure your account by clicking the secure link below: http://amaz0n-security.info/x9l0ijkcu5x0h This link will expire soon. Steam Support",urgent action required steam account alert security alert someone tried log new device avoid disruption please log secure account clicking secure link below link expire soon steam support,288,0
EM00002,Weekly newsletter: the marketing campaign,"Hi, just a friendly reminder that the marketing campaign is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Maria",maria@gmail.com,gmail.com,1,0,0,0,"Weekly newsletter: the marketing campaign Hi, just a friendly reminder that the marketing campaign is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Maria",weekly newsletter marketing campaign hi friendly reminder marketing campaign scheduled tomorrow am please come prepared updates see there maria,194,1
EM00003,URGENT: Action required on your HDFC Bank account,"Dear user, as part of a routine security review your HDFC Bank account access has been temporarily limited. Please confirm your details here to restore full access: http://dhl-tracking-parcel.xyz/euo164fldaa1fw We appreciate your prompt attention to this matter.",alert@dhl-tracking-parcel.xyz,dhl-tracking-parcel.xyz,2,0,0,1,"URGENT: Action required on your HDFC Bank account Dear user, as part of a routine security review your HDFC Bank account access has been temporarily limited. Please confirm your details here to restore full access: http://dhl-tracking-parcel.xyz/euo164fldaa1fw We appreciate your prompt attention to this matter.",urgent action required hdfc bank account dear user part routine security review hdfc bank account access temporarily limited please confirm details here restore full access appreciate prompt attention matter,312,0
EM00004,Amazon Security Alert,"ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please update your billing information by clicking the secure link below: http://amaz0n-security.info/cup8ijl2z0lj This link will expire soon. Amazon Support",support@amaz0n-security.info,amaz0n-security.info,3,1,0,1,"Amazon Security Alert ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please update your billing information by clicking the secure link below: http://amaz0n-security.info/cup8ijl2z0lj This link will expire soon. Amazon Support",amazon security alert alert security alert someone tried log new device avoid disruption please update billing information clicking secure link below link expire soon amazon support,266,0
EM00005,LinkedIn Security Alert,"Dear Customer, Your package could not be delivered - confirm your address. Log in to secure your account: http://irs-taxrefund-gov.com/gkwwjwg Failure to respond within 24 hours will result in permanent suspension of your LinkedIn account. Regards, LinkedIn Security Team",security@irs-taxrefund-gov.com,irs-taxrefund-gov.com,3,0,0,1,"LinkedIn Security Alert Dear Customer, Your package could not be delivered - confirm your address. Log in to secure your account: http://irs-taxrefund-gov.com/gkwwjwg Failure to respond within 24 hours will result in permanent suspension of your LinkedIn account. Regards, LinkedIn Security Team",linkedin security alert dear customer package could delivered confirm address log secure account failure respond within hours result permanent suspension linkedin account regards linkedin security team,295,0
EM00006,Welcome to holiday schedule,"Hi, just a friendly reminder that holiday schedule is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",alex@slack.com,slack.com,0,0,0,0,"Welcome to holiday schedule Hi, just a friendly reminder that holiday schedule is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",welcome holiday schedule hi friendly reminder holiday schedule scheduled tomorrow am please come prepared updates see there alex,173,0
EM00007,URGENT: Action required on your Instagram account,"Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Claim your reward before it expires: http://dhl-tracking-parcel.xyz/o4busu9 Sincerely, Instagram Customer Service",noreply@dhl-tracking-parcel.xyz,dhl-tracking-parcel.xyz,1,0,0,1,"URGENT: Action required on your Instagram account Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Claim your reward before it expires: http://dhl-tracking-parcel.xyz/o4busu9 Sincerely, Instagram Customer Service",urgent action required instagram account hello noticed problem last order subscription expired renew immediately claim reward before expires sincerely instagram customer service,264,0
EM00008,Your Google Workspace account has been limited,"Dear Customer, This is your final notice before deactivation. Track your package here: http://amaz0n-security.info/ahthsjr0fzaux Failure to respond within 24 hours will result in permanent suspension of your Google Workspace account. Regards, Google Workspace Security Team",support@amaz0n-security.info,amaz0n-security.info,1,0,1,1,"Your Google Workspace account has been limited Dear Customer, This is your final notice before deactivation. Track your package here: http://amaz0n-security.info/ahthsjr0fzaux Failure to respond within 24 hours will result in permanent suspension of your Google Workspace account. Regards, Google Workspace Security Team",google workspace account limited dear customer final notice before deactivation track package here failure respond within hours result permanent suspension google workspace account regards google workspace security team,320,0
EM00009,Team meeting notes - Q3 roadmap,"Hi, just a friendly reminder that Q3 roadmap is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",alex@yourbank.com,yourbank.com,1,0,0,0,"Team meeting notes - Q3 roadmap Hi, just a friendly reminder that Q3 roadmap is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",team meeting notes roadmap hi friendly reminder roadmap scheduled tomorrow am please come prepared updates see there alex,171,0
EM00010,Invoice #8046 for Q3 roadmap,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",wei@atlassian.net,atlassian.net,0,0,1,0,"Invoice #8046 for Q3 roadmap Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",invoice roadmap dear employee department performing scheduled account verification week part routine security action required time hr team,203,0
