email_id,subject,body,sender,sender_domain,num_urls,num_exclaim,has_html,label
EM00001,URGENT: Action required on your Steam account,"ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please log in to secure your account by clicking the secure link below: http://amaz0n-security.info/x9l0ijkcu5x0h This link will expire soon. Steam Support",noreply@amaz0n-security.info,amaz0n-security.info,1,1,0,1
EM00002,Weekly newsletter: the marketing campaign,"Hi, just a friendly reminder that the marketing campaign is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Maria",maria@gmail.com,gmail.com,1,0,0,0
EM00003,URGENT: Action required on your HDFC Bank account,"Dear user, as part of a routine security review your HDFC Bank account access has been temporarily limited. Please confirm your details here to restore full access: http://dhl-tracking-parcel.xyz/euo164fldaa1fw We appreciate your prompt attention to this matter.",alert@dhl-tracking-parcel.xyz,dhl-tracking-parcel.xyz,2,0,0,1
EM00004,Amazon Security Alert,"ALERT! Security alert: someone tried to log in from a new device. To avoid disruption, please update your billing information by clicking the secure link below: http://amaz0n-security.info/cup8ijl2z0lj This link will expire soon. Amazon Support",support@amaz0n-security.info,amaz0n-security.info,3,1,0,1
EM00005,LinkedIn Security Alert,"Dear Customer, Your package could not be delivered - confirm your address. Log in to secure your account: http://irs-taxrefund-gov.com/gkwwjwg Failure to respond within 24 hours will result in permanent suspension of your LinkedIn account. Regards, LinkedIn Security Team",security@irs-taxrefund-gov.com,irs-taxrefund-gov.com,3,0,0,1
EM00006,Welcome to holiday schedule,"Hi, just a friendly reminder that holiday schedule is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",alex@slack.com,slack.com,0,0,0,0
EM00007,URGENT: Action required on your Instagram account,"Hello, we noticed a problem with your last order. Your subscription has expired - renew immediately. Claim your reward before it expires: http://dhl-tracking-parcel.xyz/o4busu9 Sincerely, Instagram Customer Service",noreply@dhl-tracking-parcel.xyz,dhl-tracking-parcel.xyz,1,0,0,1
EM00008,Your Google Workspace account has been limited,"Dear Customer, This is your final notice before deactivation. Track your package here: http://amaz0n-security.info/ahthsjr0fzaux Failure to respond within 24 hours will result in permanent suspension of your Google Workspace account. Regards, Google Workspace Security Team",support@amaz0n-security.info,amaz0n-security.info,1,0,1,1
EM00009,Team meeting notes - Q3 roadmap,"Hi, just a friendly reminder that Q3 roadmap is scheduled for tomorrow at 10am. Please come prepared with your updates. See you there, Alex",alex@yourbank.com,yourbank.com,1,0,0,0
EM00010,Invoice #8046 for Q3 roadmap,"Dear employee, our IT department will be performing scheduled account verification this week as part of routine security. No action is required from you at this time. HR Team",wei@atlassian.net,atlassian.net,0,0,1,0
EM00011,Quarterly report - budget planning,"Dear colleague, thank you for your email regarding budget planning. I have reviewed the details and will follow up with next steps by end of week. Regards, Jordan",jordan@notion.so,notion.so,0,0,0,0
EM00012,URGENT: Action required on your FedEx account,"ALERT! Your subscription has expired - renew immediately. To avoid disruption, please track your package here by clicking the secure link below: http://irs-taxrefund-gov.com/vmymlinov95 This link will expire soon. FedEx Support",noreply@irs-taxrefund-gov.com,irs-taxrefund-gov.com,3,1,1,1
EM00013,URGENT: Action required on your Wells Fargo account,"Dear Customer, Security alert: someone tried to log in from a new device. Click here to verify your account: http://steam-community-gift.ru/j9boq0iq2f Failure to respond within 24 hours will result in permanent suspension of your Wells Fargo account. Regards, Wells Fargo Security Team",support@steam-community-gift.ru,steam-community-gift.ru,1,0,0,0
EM00014,Your Instagram account has been limited,Congratulations! You have been selected to receive a reward from Instagram. Claim your reward before it expires: http://microsoft-office365-verify.com/43d5iqvnb4g Offer valid for 24 hours only. Do not share this email.,service@microsoft-office365-verify.com,microsoft-office365-verify.com,2,1,1,1
EM00015,Project update - expense report,"Hi team, sharing notes from today's discussion on expense report. Please review the attached document and add your comments by Friday. Thanks, Fatima",fatima@dropbox.com,dropbox.com,0,0,0,0
